Financial_Year,Tax_Gap_Billion,Source_Publication_Year,Tax_Type
2016-17,5.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2016-17,5.3,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2016-17,5.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2017-18,5.7,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2017-18,5.7,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2017-18,5.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2018-19,5.7,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2018-19,5.9,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2018-19,6.3,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2019-20,5.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2019-20,7.7,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2019-20,9.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2020-21,5.6,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2020-21,8.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2020-21,10.5,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2021-22,10.6,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2021-22,14.2,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2022-23,15.5,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2023-24,18.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2005-06,2.2,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2005-06,2.2,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2005-06,2.2,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2006-07,2.1,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2006-07,2.1,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2006-07,2.1,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2007-08,1.7,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2007-08,1.7,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2007-08,1.7,2025,Macro Tax Summary - Excise duty (Breakdown 1)
2008-09,1.9,2022,Macro Tax Summary - Excise duty (Breakdown 1)
2008-09,1.9,2023,Macro Tax Summary - Excise duty (Breakdown 1)
2008-09,1.9,2025,Macro Tax Summary - Excise duty (Breakdown 1)
